公·央视频道,#genre#
CCTV-4 中文国际 中文国际 K,http://www.520345.xyz:8188/rtp/239.69.1.111:10304?$3840x2160


众·家庭频道,#genre#
12道锋味专场,https://live.ottiptv.cc/huya/30080162

Big3专场,https://live.ottiptv.cc/huya/30847442

TVB娱乐新闻,http://iptv.4666888.xyz/iptv2A.php?id=36

不思异剧场,http://live.nctv.top/douyu1.php?id=9297412

丧尸片系列,https://live.ottiptv.cc/huya/24314160

乒乓球专场,https://live.ottiptv.cc/huya/23505696

乡村剧专区,https://live.ottiptv.cc/huya/30080255

二十四小时专场,https://live.ottiptv.cc/huya/29982610

五十公里桃花坞专场,https://live.ottiptv.cc/huya/29465869

体育片系列,https://live.ottiptv.cc/huya/23864480

健美专场,https://live.ottiptv.cc/huya/26106704

健身专场,https://live.ottiptv.cc/huya/24354754

偶像剧专区,https://live.ottiptv.cc/huya/11601964

僵尸剧专区,https://live.ottiptv.cc/huya/23865148

僵尸片系列,https://live.ottiptv.cc/huya/11352917

刑侦剧专区,https://live.ottiptv.cc/huya/20969130

刘德华专场,https://live.ottiptv.cc/huya/11342424

动漫音乐专场,http://live.nctv.top/douyu1.php?id=9409703

动画片系列,https://live.ottiptv.cc/huya/11352878

单机/小霸王专场,https://live.ottiptv.cc/huya/24723731

单机/我的世界专场,https://live.ottiptv.cc/huya/667788

单机/拳皇专场,https://live.ottiptv.cc/huya/17167271

单机/植物大战僵尸专场,https://live.ottiptv.cc/huya/29386152

印度片系列,https://live.ottiptv.cc/huya/26355799

双笙专场,http://live.nctv.top/douyu1.php?id=6476693

变形计专场,https://live.ottiptv.cc/huya/23903164

古天乐专场,https://live.ottiptv.cc/huya/29982675

古装剧专区,https://live.ottiptv.cc/huya/24314158

吉他专场,https://live.ottiptv.cc/huya/21241765

吴京专场,https://live.ottiptv.cc/huya/11602077

吴镇宇专场,https://live.ottiptv.cc/huya/23865096

周星驰专场,https://live.ottiptv.cc/huya/11336587

周杰伦专场,http://live.nctv.top/douyu1.php?id=7537296

周润发专场,https://live.ottiptv.cc/huya/11342387

咱们穿越吧专场,https://live.ottiptv.cc/huya/11352907

哈哈哈哈哈专场,https://live.ottiptv.cc/huya/30080247

复仇片系列,https://live.ottiptv.cc/huya/29982645

天赐的声音专场,https://live.ottiptv.cc/huya/30080249

奇幻片系列,https://live.ottiptv.cc/huya/26355847

奔跑吧兄弟专场,https://live.ottiptv.cc/huya/29465870

娱乐百分百,http://iptv.4666888.xyz/iptv2A.php?id=64

宇宙探索飞船,http://live.nctv.top/douyu1.php?id=9456028

宇宙视界,http://live.nctv.top/douyu1.php?id=9498354

室外专场,http://live.nctv.top/douyu1.php?id=9627625

家庭剧专区,https://live.ottiptv.cc/huya/11352872

年代剧专区,https://live.ottiptv.cc/huya/20969095

张卫健专场,https://live.ottiptv.cc/huya/11342423

强森专场,https://live.ottiptv.cc/huya/21059581

徐克专场,https://live.ottiptv.cc/huya/11352909

徐峥专场,https://live.ottiptv.cc/huya/11602043


风·新闻资讯,#genre#
TVBS新闻,http://iptv.4666888.xyz/iptv2A.php?id=43

非凡新闻,http://iptv.4666888.xyz/iptv2A.php?id=44


雨·戏曲文艺,#genre#
3030相声小品,http://live.nctv.top/douyu1.php?id=9286868


信·少儿动漫,#genre#
Duck TV儿童卡通,http://iptv.4666888.xyz/iptv2A.php?id=39

哆啦A梦,https://live.ottiptv.cc/huya/11601963

四驱兄弟,https://live.ottiptv.cc/huya/11352922

宫崎骏,https://live.ottiptv.cc/huya/21059614

成龙历险记,https://live.ottiptv.cc/huya/11352946

梦工场动漫,http://iptv.4666888.xyz/iptv2A.php?id=40

熊孩子沙雕动画,https://live.ottiptv.cc/huya/25243852

立秋动画,http://live.nctv.top/douyu1.php?id=10351891


中·影音娱乐,#genre#
2002THEONE演唱会完整版,https://vd3.bdstatic.com/mda-nmgdfvsm9kc46pcz/576p/h264/1671270120913302151/mda-nmgdfvsm9kc46pcz.mp4

2004无与伦比演唱会完整版,https://vd4.bdstatic.com/mda-nmbpre7yr8iug4m1/576p/h264/1670863877948761917/mda-nmbpre7yr8iug4m1.mp4

2007年世界巡回演唱会完整版,https://vd4.bdstatic.com/mda-nmbgya8v797emg7u/576p/h264/1670847005358747234/mda-nmbgya8v797emg7u.mp4

2010超时代演唱会完整版,https://vd2.bdstatic.com/mda-nmc4khkjnn0k62bn/360p/h264/1670901524505595792/mda-nmc4khkjnn0k62bn.mp4

2013摩天轮演唱会完整版,https://vd4.bdstatic.com/mda-nmcex5u2u9puxz6d/576p/h264/1670928165588976698/mda-nmcex5u2u9puxz6d.mp4

2016地表最强演唱会完整版,https://vd2.bdstatic.com/mda-nmd5ujxqrmxh59qj/576p/h264/1670992604552514459/mda-nmd5ujxqrmxh59qj.mp4

24小时点歌台,https://live.ottiptv.cc/huya/25261191

40首精选慢摇点播,https://txmov2.a.kwimgs.com/bs3/video-hls/5224175695511900493_hlsb.m3u8

Alin精选16首(1小时),https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cvt3q87og65l7fblbmog&ratio=720p&line=0

Beyond精选40首(3小时),https://txmov2.a.kwimgs.com/upic/2024/01/24/14/BMjAyNDAxMjQxNDQxMjZfODI4NTk1NTQ0XzEyMzAwNzQ1MTk1Ml8yXzM=_b_Bf4811084a61390aced44f1c86a2ebddf.mp4

By2精选16首(1小时),https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000d1j0n57og65pvurg65ag&ratio=720p&line=0

